# Time (s), DUT (V)
3.060612244897960047e-09,6.348073515866289873e-03
3.080616246498599993e-09,6.158708790507650375e-03
3.100620248099239938e-09,5.899739914959440008e-03
3.120624249699879884e-09,5.590526736362870161e-03
3.140628251300519829e-09,5.252251293651820190e-03
3.160632252901160188e-09,4.906547222714840312e-03
3.180636254501800134e-09,4.574111403303810115e-03
3.200640256102440079e-09,4.273385777811359795e-03
3.220644257703080025e-09,4.019393193237070019e-03
3.240648259303719970e-09,3.822801743632059813e-03
3.260652260904359916e-09,3.689277982373160170e-03
3.280656262504999861e-09,3.619171393585269864e-03
3.300660264105639807e-09,3.607551765692770113e-03
3.320664265706280166e-09,3.644598883423309961e-03
3.340668267306920111e-09,3.716321629694719839e-03
3.360672268907560057e-09,3.805562561673729843e-03
3.380676270508200002e-09,3.893225616518709940e-03
3.400680272108839948e-09,3.959649975235700337e-03
3.420684273709479893e-09,3.986043201532899621e-03
3.440688275310119839e-09,3.955882220380679826e-03
3.460692276910760198e-09,3.856191822692680172e-03
3.480696278511400143e-09,3.678617141590280210e-03
3.500700280112040089e-09,3.420218555477800085e-03
3.520704281712689960e-09,3.083934021027680012e-03
3.540708283313329906e-09,2.678673927805339840e-03
3.560712284913969851e-09,2.219035975662499854e-03
3.580716286514609797e-09,1.724650938425970059e-03
3.600720288115250156e-09,1.219193059687180038e-03
3.620724289715890101e-09,7.291098206265950264e-04
3.640728291316530047e-09,2.821436281673979796e-04
3.660732292917169992e-09,-9.426851287215439943e-05
3.680736294517809938e-09,-3.746365163868869952e-04
3.700740296118449883e-09,-5.370907601762540257e-04
3.720744297719089829e-09,-5.638850860129220174e-04
3.740748299319730188e-09,-4.446916937115369872e-04
3.760752300920370133e-09,-1.749065487291039936e-04
3.780756302521010079e-09,2.416547410814909877e-04
3.800760304121650024e-09,7.962293493651409525e-04
3.820764305722289970e-09,1.470018144295889926e-03
3.840768307322929915e-09,2.239565936665200048e-03
3.860772308923569861e-09,3.076183323916110209e-03
3.880776310524209806e-09,3.947264435761260216e-03
3.900780312124849751e-09,4.818125002390669619e-03
3.920784313725489697e-09,5.653707765386740101e-03
3.940788315326129642e-09,6.420353152757560244e-03
3.960792316926769588e-09,7.087497193901680197e-03
3.980796318527410361e-09,7.629201372057430389e-03
4.000800320128050306e-09,8.025429056128359495e-03
4.020804321728690251e-09,8.262998094670169838e-03
4.040808323329330197e-09,8.336158182037310335e-03
4.060812324929970142e-09,8.246763566065240525e-03
4.080816326530610088e-09,8.004035232772439834e-03
4.100820328131250033e-09,7.623930459883920124e-03
4.120824329731889979e-09,7.128160156960689810e-03
4.140828331332529924e-09,6.542914367684940155e-03
4.160832332933169870e-09,5.897372524316269772e-03
4.180836334533809815e-09,5.222086575380720415e-03
4.200840336134449761e-09,4.547331303678559672e-03
4.220844337735089706e-09,3.901516690353679876e-03
4.240848339335740405e-09,3.309752083571679965e-03
4.260852340936369597e-09,2.792641560748699864e-03
4.280856342537010370e-09,2.365374911920760208e-03
