Column1,Column2
6.5213E-09,-0.00934607
6.54131E-09,-0.013175601
6.56131E-09,-0.017084202
6.58132E-09,-0.02098842
6.60132E-09,-0.024793102
6.62132E-09,-0.028395594
6.64133E-09,-0.031690573
6.66133E-09,-0.034575206
6.68134E-09,-0.036954359
6.70134E-09,-0.038745513
6.72134E-09,-0.039883105
6.74135E-09,-0.040322018
6.76135E-09,-0.040040016
6.78136E-09,-0.039038945
6.80136E-09,-0.037344653
6.82136E-09,-0.035005597
6.84137E-09,-0.03209024
6.86137E-09,-0.028683376
6.88138E-09,-0.024881615
6.90138E-09,-0.020788298
6.92138E-09,-0.016508156
6.94139E-09,-0.012142041
6.96139E-09,-0.007782061
6.9814E-09,-0.003507407
7.0014E-09,0.000618842
7.0214E-09,0.004551758
7.04141E-09,0.008265307
7.06141E-09,0.011751746
7.08142E-09,0.015019721
7.10142E-09,0.018091178
7.12142E-09,0.0209973
7.14143E-09,0.02377372
7.16143E-09,0.026455351
7.18144E-09,0.029071152
7.20144E-09,0.031639226
7.22144E-09,0.034162567
7.24145E-09,0.036625787
7.26145E-09,0.038993086
7.28146E-09,0.04120765
7.30146E-09,0.043192584
7.32146E-09,0.044853395
7.34147E-09,0.046081948
7.36147E-09,0.046761716
7.38148E-09,0.046774069
7.40148E-09,0.046005266
7.42148E-09,0.044353785
7.44149E-09,0.041737551
7.46149E-09,0.038100667
7.4815E-09,0.033419222
7.5015E-09,0.02770582
7.5215E-09,0.021012516
7.54151E-09,0.013431951
7.56151E-09,0.005096526
7.58152E-09,-0.003824375
7.60152E-09,-0.013129077
7.62152E-09,-0.022590001
7.64153E-09,-0.031961498
7.66153E-09,-0.040988762
7.68154E-09,-0.049417406
7.70154E-09,-0.057003244
7.72154E-09,-0.063521813
7.74155E-09,-0.068777169
7.76155E-09,-0.072609535
7.78156E-09,-0.074901436
7.80156E-09,-0.075582042
7.82156E-09,-0.074629505
7.84157E-09,-0.072071226
7.86157E-09,-0.067982056
7.88158E-09,-0.062480556
7.90158E-09,-0.055723538
7.92158E-09,-0.047899199
7.94159E-09,-0.03921921
7.96159E-09,-0.029910188
7.9816E-09,-0.020204977
8.0016E-09,-0.010334187
8.0216E-09,-0.000518375
8.04161E-09,0.009038747
8.06161E-09,0.018155816
8.08162E-09,0.026677822
8.10162E-09,0.034478496
8.12162E-09,0.041461084
8.14163E-09,0.047557576
8.16163E-09,0.052726573
8.18164E-09,0.05695003
8.20164E-09,0.060229186
8.22164E-09,0.062580013
8.24165E-09,0.064028548
8.26165E-09,0.064606457
8.28166E-09,0.064347138
8.30166E-09,0.063282655
8.32166E-09,0.061441669
8.34167E-09,0.05884853
8.36167E-09,0.05552353
8.38168E-09,0.051484284
8.40168E-09,0.046748105
8.42168E-09,0.041335143
8.44169E-09,0.035272042
8.46169E-09,0.028595779
8.4817E-09,0.021357359
8.5017E-09,0.013625026
8.5217E-09,0.00548668
8.54171E-09,-0.00294877
8.56171E-09,-0.011551332
8.58172E-09,-0.020171249
8.60172E-09,-0.028641768
8.62172E-09,-0.03678329
8.64173E-09,-0.044408778
8.66173E-09,-0.051330174
8.68174E-09,-0.057365534
8.70174E-09,-0.062346525
8.72174E-09,-0.066125866
8.74175E-09,-0.068584331
8.76175E-09,-0.069636895
8.78176E-09,-0.069237652
8.80176E-09,-0.067383211
8.82176E-09,-0.064114321
8.84177E-09,-0.059515581
8.86177E-09,-0.053713198
8.88178E-09,-0.046870841
8.90178E-09,-0.039183764
8.92178E-09,-0.03087145
8.94179E-09,-0.022169129
8.96179E-09,-0.013318562
8.9818E-09,-0.004558549
9.0018E-09,0.003884367
9.0218E-09,0.011804543
9.04181E-09,0.019024803
