# Time (s), DUT (V)
3.660732292917169992e-09,1.068493060591419906e-03
3.680736294517809938e-09,1.028920440113100052e-03
3.700740296118449883e-09,1.041755213901219982e-03
3.720744297719089829e-09,1.111088944907150013e-03
3.740748299319730188e-09,1.237359700470950065e-03
3.760752300920370133e-09,1.420790208557739989e-03
3.780756302521010079e-09,1.658052287617639911e-03
3.800760304121650024e-09,1.947307684602769991e-03
3.820764305722289970e-09,2.280435682007319904e-03
3.840768307322929915e-09,2.649841121186630177e-03
3.860772308923569861e-09,3.046269491735720172e-03
3.880776310524209806e-09,3.459002632832460129e-03
3.900780312124849751e-09,3.876555074599879937e-03
3.920784313725489697e-09,4.287044984864420323e-03
3.940788315326129642e-09,4.678645383788399871e-03
3.960792316926769588e-09,5.040038874494039839e-03
3.980796318527410361e-09,5.360854051502570404e-03
4.000800320128050306e-09,5.632062671529569978e-03
4.020804321728690251e-09,5.846318746172460279e-03
4.040808323329330197e-09,5.998223814438300230e-03
4.060812324929970142e-09,6.084506584220890357e-03
4.080816326530610088e-09,6.104109658081309855e-03
4.100820328131250033e-09,6.058180909579219918e-03
4.120824329731889979e-09,5.949971966648389884e-03
4.140828331332529924e-09,5.784650905937740312e-03
4.160832332933169870e-09,5.569040405012420231e-03
4.180836334533809815e-09,5.311296013245070044e-03
4.200840336134449761e-09,5.020541711666850343e-03
4.220844337735089706e-09,4.706481422107800308e-03
4.240848339335740405e-09,4.379005546451699912e-03
4.260852340936369597e-09,4.047810984229669763e-03
4.280856342537010370e-09,3.722051472009730005e-03
4.300860344137660241e-09,3.410032646906249829e-03
4.320864345738300187e-09,3.118963142428010128e-03
4.340868347338940132e-09,2.854769492003379934e-03
4.360872348939580078e-09,2.621978876243429880e-03
4.380876350540220023e-09,2.423670037849390019e-03
4.400880352140859969e-09,2.261489222234370003e-03
4.420884353741499914e-09,2.135724974383790102e-03
4.440888355342139860e-09,2.045433184714290017e-03
4.460892356942779805e-09,1.988602033549070110e-03
4.480896358543419751e-09,1.962345486087359921e-03
4.500900360144059696e-09,1.963113736228329874e-03
4.520904361744699642e-09,1.986909435162450156e-03
4.540908363345339587e-09,2.029499573336630055e-03
4.560912364945980360e-09,2.086614380847159889e-03
4.580916366546620305e-09,2.154126418067389866e-03
4.600920368147260251e-09,2.228204981226979998e-03
4.620924369747900196e-09,2.305442886731240079e-03
4.640928371348540142e-09,2.382954478154899851e-03
4.660932372949180087e-09,2.458445203442250100e-03
4.680936374549820033e-09,2.530254253253459880e-03
4.700940376150459978e-09,2.597372492133220162e-03
4.720944377751099924e-09,2.659438250742910022e-03
4.740948379351739869e-09,2.716713519236290189e-03
4.760952380952379815e-09,2.770042763181990164e-03
4.780956382553019760e-09,2.820796075201669958e-03
4.800960384153659705e-09,2.870797796150370042e-03
4.820964385754299651e-09,2.922241211234479896e-03
4.840968387354939596e-09,2.977589565113120031e-03
4.860972388955580369e-09,3.039463541434480210e-03
4.880976390556220315e-09,3.110515583968099899e-03
4.900980392156860260e-09,3.193292028052400165e-03
4.920984393757500205e-09,3.290084951199459887e-03
4.940988395358140151e-09,3.402776885159320124e-03
4.960992396958780096e-09,3.532682963872079904e-03
4.980996398559420042e-09,3.680396583419599799e-03
5.001000400160059987e-09,3.845646067499240012e-03
5.021004401760699933e-09,4.027170999677110244e-03
5.041008403361339878e-09,4.222627637240159576e-03
5.061012404961989750e-09,4.428533013292999636e-03
5.081016406562629695e-09,4.640256846513430254e-03
5.101020408163269641e-09,4.852069138268479652e-03
5.121024409763910414e-09,5.057249323654309722e-03
5.141028411364550359e-09,5.248260096576609808e-03
5.161032412965190305e-09,5.416985650631210396e-03
5.181036414565830250e-09,5.555030228856050294e-03
5.201040416166470195e-09,5.654068770755639808e-03
5.221044417767110141e-09,5.706237339624400072e-03
5.241048419367750086e-09,5.704547188339579959e-03
5.261052420968390032e-09,5.643303065654060001e-03
5.281056422569029977e-09,5.518503954045150296e-03
5.301060424169669923e-09,5.328203106023669984e-03
5.321064425770309868e-09,5.072804199314639648e-03
5.341068427370949814e-09,4.755271781804210063e-03
5.361072428971589759e-09,4.381236962333829969e-03
5.381076430572229705e-09,3.958983468715289791e-03
5.401080432172869650e-09,3.499304592036079839e-03
5.421084433773509596e-09,3.015227927610860184e-03
5.441088435374150368e-09,2.521611889627049970e-03
5.461092436974790314e-09,2.034625334810529970e-03
5.481096438575430259e-09,1.571128854055200020e-03
5.501100440176070205e-09,1.147982934171750020e-03
5.521104441776710150e-09,7.813138189130139572e-04
5.541108443377350096e-09,4.857721097731390212e-04
5.561112444977990041e-09,2.738216091327350219e-04
5.581116446578629987e-09,1.550963754583960024e-04
5.601120448179269932e-09,1.358622971308060109e-04
5.621124449779909878e-09,2.186156846878240087e-04
5.641128451380549823e-09,4.018455476962759856e-04
5.661132452981189769e-09,6.799911120069660007e-04
5.681136454581829714e-09,1.043455990467219950e-03
5.701140456182469659e-09,1.478746558844950100e-03
5.721144457783109605e-09,1.970694992542430021e-03
5.741148459383750378e-09,2.500966952068159853e-03
5.761152460984390323e-09,3.047897250492790071e-03
5.781156462585030269e-09,3.591298463734830197e-03
5.801160464185670214e-09,4.110620340587430380e-03
5.821164465786310160e-09,4.586394806451959613e-03
5.841168467386960031e-09,5.001300429331909624e-03
5.861172468987599977e-09,5.340926456075980114e-03
5.881176470588239922e-09,5.594439090403509861e-03
5.901180472188879868e-09,5.755070608820399627e-03
5.921184473789519813e-09,5.820403347679459910e-03
5.941188475390159759e-09,5.792431443076219606e-03
5.961192476990799704e-09,5.677395253297520122e-03
5.981196478591439649e-09,5.485395964270250134e-03
6.001200480192079595e-09,5.229810247539700210e-03
6.021204481792720368e-09,4.926536277790560109e-03
6.041208483393360313e-09,4.593112231747589758e-03
6.061212484994000259e-09,4.247755973379809674e-03
6.081216486594640204e-09,3.908379493250209794e-03
6.101220488195280149e-09,3.591633477200189845e-03
6.121224489795920095e-09,3.312035973058289826e-03
6.141228491396560040e-09,3.081234535938510120e-03
6.161232492997199986e-09,2.907443687005609959e-03
6.181236494597839931e-09,2.795089425088860113e-03
6.201240496198479877e-09,2.744680453103769992e-03
6.221244497799119822e-09,2.752912420994659860e-03
6.241248499399759768e-09,2.812997631131619863e-03
6.261252501000399713e-09,2.915199132306799893e-03
6.281256502601039659e-09,3.047535767953189843e-03
6.301260504201679604e-09,3.196614309019660087e-03
6.321264505802320377e-09,3.348536951861449951e-03
6.341268507402960322e-09,3.489827707826210004e-03
6.361272509003600268e-09,3.608319882925350042e-03
6.381276510604240213e-09,3.693949065983959806e-03
6.401280512204880159e-09,3.739401717940959990e-03
6.421284513805520104e-09,3.740578275048510055e-03
